,Unnamed: 0.1,Unnamed: 0,Parameter Count,Baseline Accuracy,Baseline Size,Pruned Accuracy,Pruned Size,Quantized Accuracy,Quantized Size
0,0,0,108739,0.5186111330986023,12058492,0.9319444298744202,4010153,0.9319444444444445,1110989
1,1,1,217031,0.6644444465637207,3307807,0.7325000166893005,1206112,0.7311111111111112,311566
2,2,2,325395,0.7769444584846497,18031637,0.9038888812065125,6042361,0.9022222222222223,916408
3,3,3,433831,0.7877777814865112,19411881,0.9225000143051147,6448410,0.9236111111111112,106291
4,4,4,542339,0.918055534362793,13248446,0.6280555725097656,4416337,0.625,1303517
5,5,5,650919,0.9024999737739564,723831,0.5191666483879089,407182,0.5169444444444444,715080
6,6,6,759571,0.9058333039283752,15638061,0.8911111354827881,5229315,0.8886111111111111,815879
7,7,7,868295,0.8263888955116272,10885743,0.8247222304344177,3604781,0.825,1413208
8,8,8,977091,0.9311110973358154,7162617,0.5894444584846497,2396113,0.5888888888888889,410815
9,9,9,1085959,0.8899999856948853,8416457,0.8788889050483704,2797688,0.8788888888888889,209226
10,10,10,1194899,0.9572222232818604,9110019,0.70333331823349,3200201,0.7030555555555555,1198903
11,11,11,1303911,0.9655555486679076,4651723,0.7888888716697693,1599314,0.7888888888888889,615772
12,12,12,1412995,0.9594444632530212,14441163,0.926111102104187,4822442,0.9255555555555556,514883
13,13,13,1522151,0.9688888788223268,2383093,0.7438889145851135,809130,0.7425,1600744
14,14,14,1631379,0.9558333158493042,16876211,0.9288889169692992,5635296,0.9277777777777778,1021310
15,15,15,1740679,0.9688888788223268,6000098,0.8911111354827881,1996768,0.8897222222222222,1486992
